,Unnamed: 0,round,user_id,action_player,opponent,action_opponent,payoff,rt,session,treatment,actions,response,abs_time,context
0,0,1,s3m7_usuario9,D,['s3m7_usuario18'],C,4,-4.452,s3m7,weak,00D,0,4.452,0
1,1,1,s3m7_usuario18,C,['s3m7_usuario9'],D,0,9.443,s3m7,weak,00C,1,9.443,0
2,2,1,s3m7_usuario7,C,['s3m7_usuario10'],C,3,2.213,s3m7,weak,00C,1,2.213,0
3,3,1,s3m7_usuario10,C,['s3m7_usuario7'],C,3,8.101,s3m7,weak,00C,1,8.101,0
4,4,1,s3m7_usuario13,C,['s3m7_usuario5'],C,3,5.043,s3m7,weak,00C,1,5.043,0
5,5,1,s3m7_usuario5,C,['s3m7_usuario13'],C,3,3.111,s3m7,weak,00C,1,3.111,0
6,6,1,s3m7_usuario15,D,['s3m7_usuario16'],C,4,-3.563,s3m7,weak,00D,0,3.563,0
7,7,1,s3m7_usuario16,C,['s3m7_usuario15'],D,0,4.015,s3m7,weak,00C,1,4.015,0
8,8,1,s3m7_usuario12,D,['s3m7_usuario6'],C,4,-4.742,s3m7,weak,00D,0,4.742,0
9,9,1,s3m7_usuario6,C,['s3m7_usuario12'],D,0,5.935,s3m7,weak,00C,1,5.935,0
10,10,1,s3m7_usuario17,C,['s3m7_usuario2'],C,3,16.053,s3m7,weak,00C,1,16.053,0
11,11,1,s3m7_usuario2,C,['s3m7_usuario17'],C,3,6.218,s3m7,weak,00C,1,6.218,0
12,12,1,s3m7_usuario14,C,['s3m7_usuario4'],C,3,6.939,s3m7,weak,00C,1,6.939,0
13,13,1,s3m7_usuario4,C,['s3m7_usuario14'],C,3,2.748,s3m7,weak,00C,1,2.748,0
14,14,1,s3m7_usuario11,C,['s3m7_usuario3'],C,3,34.435,s3m7,weak,00C,1,34.435,0
15,15,1,s3m7_usuario3,C,['s3m7_usuario11'],C,3,8.74,s3m7,weak,00C,1,8.74,0
16,16,1,s3m7_usuario8,C,['s3m7_usuario1'],C,3,11.927999999999999,s3m7,weak,00C,1,11.927999999999999,0
17,17,1,s3m7_usuario1,C,['s3m7_usuario8'],C,3,6.694,s3m7,weak,00C,1,6.694,0
18,18,2,s3m7_usuario9,C,['s3m7_usuario18'],C,3,5.401,s3m7,weak,DCC,1,5.401,1
19,19,2,s3m7_usuario18,C,['s3m7_usuario9'],C,3,2.044,s3m7,weak,CDC,1,2.044,0
20,20,2,s3m7_usuario7,C,['s3m7_usuario10'],C,3,1.47,s3m7,weak,CCC,1,1.47,1
21,21,2,s3m7_usuario10,C,['s3m7_usuario7'],C,3,17.404,s3m7,weak,CCC,1,17.404,1
22,22,2,s3m7_usuario13,D,['s3m7_usuario5'],C,4,-6.433,s3m7,weak,CCD,0,6.433,1
23,23,2,s3m7_usuario5,C,['s3m7_usuario13'],D,0,2.309,s3m7,weak,CCC,1,2.309,1
24,24,2,s3m7_usuario15,D,['s3m7_usuario16'],D,0,-3.7560000000000002,s3m7,weak,DCD,0,3.7560000000000002,1
25,25,2,s3m7_usuario16,D,['s3m7_usuario15'],D,0,-3.247,s3m7,weak,CDD,0,3.247,0
26,26,2,s3m7_usuario12,D,['s3m7_usuario6'],C,4,-13.046,s3m7,weak,DCD,0,13.046,1
27,27,2,s3m7_usuario6,C,['s3m7_usuario12'],D,0,7.686,s3m7,weak,CDC,1,7.686,0
28,28,2,s3m7_usuario17,C,['s3m7_usuario2'],C,3,3.2110000000000003,s3m7,weak,CCC,1,3.2110000000000003,1
29,29,2,s3m7_usuario2,C,['s3m7_usuario17'],C,3,22.755,s3m7,weak,CCC,1,22.755,1
30,30,2,s3m7_usuario14,C,['s3m7_usuario4'],C,3,8.162,s3m7,weak,CCC,1,8.162,1
31,31,2,s3m7_usuario4,C,['s3m7_usuario14'],C,3,3.6710000000000003,s3m7,weak,CCC,1,3.6710000000000003,1
32,32,2,s3m7_usuario11,D,['s3m7_usuario3'],C,4,-9.818999999999999,s3m7,weak,CCD,0,9.818999999999999,1
33,33,2,s3m7_usuario3,C,['s3m7_usuario11'],D,0,11.575999999999999,s3m7,weak,CCC,1,11.575999999999999,1
34,34,2,s3m7_usuario8,C,['s3m7_usuario1'],D,0,6.2139999999999995,s3m7,weak,CCC,1,6.2139999999999995,1
35,35,2,s3m7_usuario1,D,['s3m7_usuario8'],C,4,-9.861,s3m7,weak,CCD,0,9.861,1
36,36,3,s3m7_usuario9,D,['s3m7_usuario18'],C,4,-10.751,s3m7,weak,CCD,0,10.751,1
37,37,3,s3m7_usuario18,C,['s3m7_usuario9'],D,0,1.841,s3m7,weak,CCC,1,1.841,1
38,38,3,s3m7_usuario7,C,['s3m7_usuario10'],C,3,0.925,s3m7,weak,CCC,1,0.925,1
39,39,3,s3m7_usuario10,C,['s3m7_usuario7'],C,3,5.355,s3m7,weak,CCC,1,5.355,1
40,40,3,s3m7_usuario13,C,['s3m7_usuario5'],C,3,4.461,s3m7,weak,DCC,1,4.461,1
41,41,3,s3m7_usuario5,C,['s3m7_usuario13'],C,3,3.411,s3m7,weak,CDC,1,3.411,0
42,42,3,s3m7_usuario15,D,['s3m7_usuario16'],D,0,-2.8989999999999996,s3m7,weak,DDD,0,2.8989999999999996,0
43,43,3,s3m7_usuario16,D,['s3m7_usuario15'],D,0,-2.737,s3m7,weak,DDD,0,2.737,0
44,44,3,s3m7_usuario12,D,['s3m7_usuario6'],D,0,-25.718000000000004,s3m7,weak,DCD,0,25.718000000000004,1
45,45,3,s3m7_usuario6,D,['s3m7_usuario12'],D,0,-5.982,s3m7,weak,CDD,0,5.982,0
