,user_id,rt,response,round,context,strategy,self,other
0,126,11.92,1,1,,MCC,7.0,7.0
1,126,-9.33,0,2,4.0,MCC,40.0,0.0
2,126,-26.1,0,3,3.0,MCC,30.0,0.0
3,126,-7.38,0,5,4.0,MCC,40.0,0.0
4,126,-23.94,0,6,1.0,MCC,10.0,0.0
5,126,-18.11,0,7,4.0,MCC,40.0,0.0
6,126,12.23,1,8,3.0,MCC,21.0,71.0
7,126,-12.19,0,9,4.0,MCC,40.0,0.0
8,126,-19.73,0,10,4.0,MCC,40.0,0.0
9,126,-17.13,0,11,4.0,MCC,40.0,0.0
10,126,18.78,1,12,2.0,MCC,14.0,74.0
11,126,-7.63,0,13,1.0,MCC,10.0,0.0
12,126,-14.2,0,14,3.0,MCC,30.0,0.0
13,126,6.5,1,15,3.0,MCC,21.0,71.0
14,126,-15.85,0,16,3.0,MCC,30.0,0.0
15,126,-11.42,0,17,4.0,MCC,40.0,0.0
16,126,24.22,1,18,0.0,MCC,0.0,80.0
17,126,9.24,1,19,4.0,MCC,28.0,68.0
18,126,29.51,1,20,3.0,MCC,21.0,71.0
19,126,10.69,1,21,0.0,MCC,0.0,80.0
20,126,-4.72,0,22,1.0,MCC,10.0,0.0
21,126,-7.36,0,23,3.0,MCC,30.0,0.0
22,126,-22.75,0,24,3.0,MCC,30.0,0.0
23,126,-18.61,0,25,3.0,MCC,30.0,0.0
24,126,-25.78,0,26,3.0,MCC,30.0,0.0
25,126,-25.17,0,27,2.0,MCC,20.0,0.0
26,126,13.43,1,28,2.0,MCC,14.0,74.0
27,126,6.75,1,29,3.0,MCC,21.0,71.0
28,126,-15.83,0,30,2.0,MCC,20.0,0.0
29,126,9.97,1,31,4.0,MCC,28.0,68.0
30,126,-5.92,0,32,0.0,MCC,0.0,0.0
31,126,-25.06,0,33,2.0,MCC,20.0,0.0
32,126,-22.75,0,34,2.0,MCC,20.0,0.0
33,126,-18.63,0,35,2.0,MCC,20.0,0.0
34,126,-24.55,0,36,0.0,MCC,0.0,0.0
35,126,19.42,1,37,2.0,MCC,14.0,74.0
36,126,-18.5,0,38,2.0,MCC,20.0,0.0
37,126,-28.46,0,39,2.0,MCC,20.0,0.0
38,126,-19.0,0,40,2.0,MCC,20.0,0.0
39,126,-22.88,0,41,3.0,MCC,30.0,0.0
40,126,9.68,1,42,1.0,MCC,7.0,77.0
41,126,4.94,1,43,0.0,MCC,0.0,80.0
42,126,4.94,1,44,1.0,MCC,7.0,77.0
43,126,10.72,1,45,3.0,MCC,21.0,71.0
44,126,-10.3,0,46,4.0,MCC,40.0,0.0
45,126,-9.02,0,47,2.0,MCC,20.0,0.0
46,64,-8.53,0,1,,MCC,10.0,0.0
47,64,20.7,1,2,6.0,MCC,42.0,62.0
48,64,-9.51,0,3,1.0,MCC,10.0,0.0
49,64,7.76,1,4,4.0,MCC,28.0,68.0
50,64,-5.53,0,5,4.0,MCC,40.0,0.0
51,64,17.15,1,6,1.0,MCC,7.0,77.0
52,64,8.4,1,7,3.0,MCC,21.0,71.0
53,64,6.39,1,8,1.0,MCC,7.0,77.0
54,64,-6.52,0,9,5.0,MCC,50.0,0.0
55,64,5.56,1,10,3.0,MCC,21.0,71.0
56,64,-7.05,0,11,1.0,MCC,10.0,0.0
57,64,-2.69,0,12,3.0,MCC,30.0,0.0
58,64,-3.76,0,13,3.0,MCC,30.0,0.0
59,64,3.72,1,14,1.0,MCC,7.0,77.0
60,64,-6.08,0,15,2.0,MCC,20.0,0.0
61,64,-4.96,0,16,4.0,MCC,40.0,0.0
62,64,-3.39,0,17,1.0,MCC,10.0,0.0
63,64,2.57,1,18,1.0,MCC,7.0,77.0
64,64,6.32,1,19,4.0,MCC,28.0,68.0
65,64,-2.98,0,20,4.0,MCC,40.0,0.0
66,64,-4.83,0,21,2.0,MCC,20.0,0.0
67,64,3.79,1,22,2.0,MCC,14.0,74.0
68,64,-4.5,0,23,1.0,MCC,10.0,0.0
69,64,-2.6,0,24,1.0,MCC,10.0,0.0
70,64,2.83,1,25,2.0,MCC,14.0,74.0
71,64,-5.03,0,26,3.0,MCC,30.0,0.0
72,64,-2.59,0,27,1.0,MCC,10.0,0.0
73,64,3.68,1,28,1.0,MCC,7.0,77.0
74,64,-6.39,0,29,3.0,MCC,30.0,0.0
75,64,3.26,1,30,3.0,MCC,21.0,71.0
76,64,-5.03,0,31,2.0,MCC,20.0,0.0
77,64,-5.15,0,32,1.0,MCC,10.0,0.0
78,64,4.93,1,33,3.0,MCC,21.0,71.0
79,64,-11.94,0,34,0.0,MCC,0.0,0.0
80,64,-4.4,0,35,3.0,MCC,30.0,0.0
81,64,-5.29,0,36,1.0,MCC,10.0,0.0
82,64,-2.33,0,37,1.0,MCC,10.0,0.0
83,64,-8.32,0,38,2.0,MCC,20.0,0.0
84,64,-3.28,0,39,1.0,MCC,10.0,0.0
85,64,4.07,1,40,1.0,MCC,7.0,77.0
86,64,-3.33,0,41,1.0,MCC,10.0,0.0
87,64,-2.79,0,42,0.0,MCC,0.0,0.0
88,64,-4.88,0,43,2.0,MCC,20.0,0.0
89,64,-4.52,0,44,3.0,MCC,30.0,0.0
90,64,-4.24,0,45,3.0,MCC,30.0,0.0
91,64,-2.74,0,46,4.0,MCC,40.0,0.0
92,64,-4.42,0,47,1.0,MCC,10.0,0.0
93,143,4.06,1,1,,MCC,7.0,7.0
94,143,-14.42,0,2,4.0,MCC,40.0,0.0
95,143,7.04,1,3,2.0,MCC,14.0,74.0
96,143,2.03,1,4,3.0,MCC,21.0,71.0
97,143,-5.37,0,5,2.0,MCC,20.0,0.0
98,143,-4.62,0,6,2.0,MCC,20.0,0.0
99,143,-4.31,0,7,3.0,MCC,30.0,0.0
100,143,15.33,1,8,1.0,MCC,7.0,77.0
101,143,-19.03,0,9,4.0,MCC,40.0,0.0
102,143,-10.86,0,10,4.0,MCC,40.0,0.0
103,143,8.76,1,11,1.0,MCC,7.0,77.0
104,143,5.02,1,12,2.0,MCC,14.0,74.0
105,143,-4.08,0,13,2.0,MCC,20.0,0.0
106,143,-6.2,0,14,1.0,MCC,10.0,0.0
107,143,-6.57,0,15,2.0,MCC,20.0,0.0
108,143,-4.17,0,16,3.0,MCC,30.0,0.0
109,143,5.88,1,17,1.0,MCC,7.0,77.0
110,143,-11.05,0,18,1.0,MCC,10.0,0.0
111,143,6.13,1,19,3.0,MCC,21.0,71.0
112,143,-4.52,0,20,3.0,MCC,30.0,0.0
113,143,-4.57,0,21,1.0,MCC,10.0,0.0
114,143,-4.52,0,22,2.0,MCC,20.0,0.0
115,143,-3.25,0,23,3.0,MCC,30.0,0.0
116,143,11.66,1,24,2.0,MCC,14.0,74.0
117,143,5.76,1,25,1.0,MCC,7.0,77.0
118,143,-3.15,0,26,1.0,MCC,10.0,0.0
119,143,-11.7,0,27,2.0,MCC,20.0,0.0
120,143,-5.96,0,28,1.0,MCC,10.0,0.0
121,143,-11.94,0,29,2.0,MCC,20.0,0.0
122,143,-4.28,0,30,2.0,MCC,20.0,0.0
123,143,-3.8,0,31,4.0,MCC,40.0,0.0
124,143,7.88,1,32,0.0,MCC,0.0,80.0
125,143,-7.12,0,33,3.0,MCC,30.0,0.0
126,143,4.45,1,34,2.0,MCC,14.0,74.0
127,143,-4.14,0,35,0.0,MCC,0.0,0.0
128,143,-5.54,0,36,2.0,MCC,20.0,0.0
129,143,-8.64,0,37,1.0,MCC,10.0,0.0
130,143,-12.12,0,38,2.0,MCC,20.0,0.0
131,143,-4.02,0,39,0.0,MCC,0.0,0.0
132,143,-7.32,0,40,1.0,MCC,10.0,0.0
133,143,-6.8,0,41,2.0,MCC,20.0,0.0
134,143,-4.73,0,42,0.0,MCC,0.0,0.0
135,143,-10.35,0,43,2.0,MCC,20.0,0.0
136,143,-3.83,0,44,2.0,MCC,20.0,0.0
137,143,2.84,1,45,1.0,MCC,7.0,77.0
138,143,-15.97,0,46,1.0,MCC,10.0,0.0
139,143,8.77,1,47,1.0,MCC,7.0,77.0
140,115,-9.5,0,1,,PD,10.0,0.0
141,115,-11.37,0,2,6.0,PD,60.0,0.0
142,115,-20.15,0,3,2.0,PD,20.0,0.0
143,115,-25.27,0,4,4.0,PD,40.0,0.0
144,115,-9.9,0,5,4.0,PD,40.0,0.0
145,115,-16.71,0,6,3.0,PD,30.0,0.0
146,115,-13.03,0,7,5.0,PD,50.0,0.0
147,115,-20.31,0,8,1.0,PD,10.0,0.0
148,115,-15.85,0,10,3.0,PD,30.0,0.0
149,115,23.62,1,11,2.0,PD,14.0,74.0
150,115,-9.0,0,12,2.0,PD,20.0,0.0
151,115,-13.16,0,13,4.0,PD,40.0,0.0
152,115,-6.75,0,14,4.0,PD,40.0,0.0
153,115,-4.22,0,15,2.0,PD,20.0,0.0
154,115,-5.9,0,16,4.0,PD,40.0,0.0
155,115,-10.99,0,17,3.0,PD,30.0,0.0
156,115,-8.84,0,18,3.0,PD,30.0,0.0
157,115,-6.16,0,19,2.0,PD,20.0,0.0
158,115,-9.61,0,20,3.0,PD,30.0,0.0
159,115,-21.7,0,21,3.0,PD,30.0,0.0
160,115,4.55,1,22,2.0,PD,14.0,74.0
161,115,-2.37,0,23,2.0,PD,20.0,0.0
162,115,-6.13,0,24,4.0,PD,40.0,0.0
163,115,-12.22,0,25,2.0,PD,20.0,0.0
164,115,-7.02,0,26,1.0,PD,10.0,0.0
165,115,-6.89,0,27,2.0,PD,20.0,0.0
166,115,-6.44,0,28,2.0,PD,20.0,0.0
167,115,-8.08,0,29,0.0,PD,0.0,0.0
168,115,-14.71,0,30,4.0,PD,40.0,0.0
169,115,-3.11,0,31,4.0,PD,40.0,0.0
