,user_id,a,v,t,z,a_sd,v_sd,t_sd,z_sd
0,usuario1_nets3m3,3.710204036503989,0.1562054695061285,0.7148187169214612,0.4250684496088661,0.2495386269329901,0.0979088669502949,0.14128165342166005,0.04858794821411636
50,usuario3_nets5m10,6.247157830253471,-0.2320960611104248,0.3571944557533755,0.3064016812426294,0.4967558775188511,0.0604040797097959,0.13970918374023217,0.040921549599895406
100,usuario1_nets9m11,3.1376364342926775,-0.045125695185098416,0.8862634895462904,0.5159670124755855,0.21544199864215,0.11033023880029413,0.12316988366920117,0.04597272022037201
150,usuario15_nets3m3,5.95012487905277,-0.05614972732877612,0.8242145008454967,0.5013372119058107,0.36718891040094975,0.05809010215862364,0.37059659168627723,0.047782420295902094
200,usuario12_nets4m10,3.489218219000335,0.21938313023711126,0.2886675330880945,0.4830049977568723,0.20881512485573986,0.09348456326403742,0.0916883694125467,0.043403171765981886
250,usuario12_nets1m3,3.8272998524620436,-0.21170417368195077,0.6003789596291365,0.539923596574247,0.25719597400679733,0.08946719610982355,0.16281206465543302,0.04585266465255242
300,usuario4_nets1m3,4.554621097602301,0.035347177265157355,0.410381203740862,0.4578636192829263,0.25386283683091143,0.06720526926915715,0.14616048004964366,0.04226481791244674
350,usuario9_nets6m10,3.4084235151280216,-0.03819989255620106,0.6294015481213855,0.512272999056708,0.22454628538547142,0.10273067387129359,0.11920619487394532,0.047246525731957124
400,usuario10_nets1m3,4.921943295542455,-0.06995867759767671,0.49973349776908554,0.44824091924777715,0.29823017878726277,0.06766476434183093,0.1833235645525791,0.04594461253996931
450,usuario15_nets6m10,3.0039030689097173,0.3986350259948758,0.43163289282925,0.5363159047125862,0.21414079012742207,0.13269943739525317,0.07136004587061737,0.0543490309224158
500,usuario8_nets3m3,5.333789158998544,-0.5051222193054474,0.8848352434895775,0.460538568994906,0.5276461836401813,0.09477112880930448,0.33773785461002903,0.06706865148521465
550,usuario1_nets4m10,3.4518747748102987,0.5124505477851422,0.4916759386424748,0.47055629874741006,0.2595456312635867,0.11162608132863146,0.12316943610796471,0.049535687921007994
600,usuario2_nets6m10,3.611952744132,-0.2532615655965366,0.4518102007891844,0.5451804917716643,0.2338115094844944,0.09450602158298241,0.11859588993079881,0.044259772280176246
650,usuario14_nets7m11,5.8098445971731305,0.13771675137056372,0.48815826111761657,0.5952151092336058,0.36198964050914395,0.05962726849664603,0.19408103758574444,0.04471142182374151
700,usuario3_nets6m10,4.719469990534761,-0.20884077573274779,0.3566619230453548,0.5919753436936994,0.2643669130415986,0.07026859521562116,0.12424858230706932,0.04211688067328342
750,usuario3_nets8m11,3.7856541382816937,-0.3549875569011177,1.170657453888766,0.4908940601463156,0.2976738851922465,0.09807617466054898,0.21212055770430488,0.04979833626024154
800,usuario1_nets2m3,4.426392321939384,0.1997316048304391,0.4712926830483959,0.5194712067454411,0.2752609219403,0.07527619245889086,0.16801682207920174,0.04418562588112047
850,usuario16_nets8m11,5.807822050782974,0.04322788334304493,0.2457915869002223,0.44929774025994224,0.30167449268815644,0.05225196359000562,0.10381971745930164,0.04179113715176225
900,usuario12_nets7m11,6.225295528354442,-0.26256284893379805,0.5527963000244382,0.3808668312307157,0.5002071794149607,0.06452614358888453,0.2245728599843361,0.05112136168108295
950,usuario4_nets8m11,5.564251909467291,-0.5049416772805728,0.3930148731711218,0.40508691956877774,0.5791511319367757,0.08752878419785762,0.153979097764573,0.0557245938565126
1000,usuario15_nets4m10,5.132491210115286,-0.8015891685249981,0.4346688368803866,0.49793026880542846,0.6176772937269743,0.11586754376403527,0.1524212395849684,0.0648750204724991
1050,usuario15_nets7m11,7.176360640423068,0.03607323278976114,0.40905986816427486,0.43329473994053036,0.39874775601094525,0.045944458024089314,0.17332912757143856,0.04524726082156117
1100,usuario10_nets4m10,2.8609273036590013,0.44913734639749586,0.25225037525959193,0.5018357279977376,0.192751865065748,0.12480340617268182,0.07093913342703802,0.04683576241199038
