,Unnamed: 0,round,action,payoff,rt,PlayedBy,session,user_id,context,treatment,response
0,0,1,D,24,4.353,user,nets3m3,usuario1_nets3m3,0,info,0
1,1,2,C,10,4.699,user,nets3m3,usuario1_nets3m3,4,info,1
2,2,3,C,15,3.292,user,nets3m3,usuario1_nets3m3,2,info,1
3,3,4,C,5,2.489,user,nets3m3,usuario1_nets3m3,3,info,1
4,4,5,D,14,2.7710000000000004,user,nets3m3,usuario1_nets3m3,1,info,0
5,5,6,C,5,10.645999999999999,user,nets3m3,usuario1_nets3m3,2,info,1
6,6,7,D,14,5.153,user,nets3m3,usuario1_nets3m3,1,info,0
7,7,8,C,0,6.308,user,nets3m3,usuario1_nets3m3,2,info,1
8,8,9,C,5,4.399,user,nets3m3,usuario1_nets3m3,0,info,1
9,9,10,C,5,2.533,user,nets3m3,usuario1_nets3m3,1,info,1
10,10,11,D,9,2.27,user,nets3m3,usuario1_nets3m3,1,info,0
11,11,12,D,14,3.1710000000000003,user,nets3m3,usuario1_nets3m3,1,info,0
12,12,13,C,10,2.679,user,nets3m3,usuario1_nets3m3,2,info,1
13,13,14,C,5,2.487,user,nets3m3,usuario1_nets3m3,2,info,1
14,14,15,C,10,8.261000000000001,user,nets3m3,usuario1_nets3m3,1,info,1
15,15,16,C,10,4.444,user,nets3m3,usuario1_nets3m3,2,info,1
16,16,17,C,5,4.583,user,nets3m3,usuario1_nets3m3,2,info,1
17,17,18,D,9,3.4560000000000004,user,nets3m3,usuario1_nets3m3,1,info,0
18,18,19,D,14,2.141,user,nets3m3,usuario1_nets3m3,1,info,0
19,19,20,C,5,2.637,user,nets3m3,usuario1_nets3m3,2,info,1
20,20,21,C,5,2.645,user,nets3m3,usuario1_nets3m3,1,info,1
21,21,22,C,15,4.675,user,nets3m3,usuario1_nets3m3,1,info,1
22,22,23,D,14,3.09,user,nets3m3,usuario1_nets3m3,3,info,0
23,23,24,C,10,6.822,user,nets3m3,usuario1_nets3m3,2,info,1
24,24,25,C,10,2.8939999999999997,user,nets3m3,usuario1_nets3m3,2,info,1
25,25,26,C,5,1.994,user,nets3m3,usuario1_nets3m3,2,info,1
26,26,27,D,4,2.2230000000000003,user,nets3m3,usuario1_nets3m3,1,info,0
27,27,28,D,9,2.97,user,nets3m3,usuario1_nets3m3,0,info,0
28,28,29,D,9,2.5839999999999996,user,nets3m3,usuario1_nets3m3,1,info,0
29,29,30,D,14,3.418,user,nets3m3,usuario1_nets3m3,1,info,0
30,30,31,C,5,4.064,user,nets3m3,usuario1_nets3m3,2,info,1
31,31,32,D,9,11.61,user,nets3m3,usuario1_nets3m3,1,info,0
32,32,33,D,14,3.46,user,nets3m3,usuario1_nets3m3,1,info,0
33,33,34,D,14,3.6639999999999997,user,nets3m3,usuario1_nets3m3,2,info,0
34,34,35,C,0,6.787000000000001,user,nets3m3,usuario1_nets3m3,2,info,1
35,35,36,C,0,2.376,user,nets3m3,usuario1_nets3m3,0,info,1
36,36,37,C,5,2.029,user,nets3m3,usuario1_nets3m3,0,info,1
37,37,38,C,0,3.1060000000000003,user,nets3m3,usuario1_nets3m3,1,info,1
38,38,39,D,9,1.227,user,nets3m3,usuario1_nets3m3,0,info,0
39,39,40,D,9,1.0959999999999999,user,nets3m3,usuario1_nets3m3,1,info,0
40,40,41,D,9,6.704,user,nets3m3,usuario1_nets3m3,1,info,0
41,41,42,D,9,4.787,user,nets3m3,usuario1_nets3m3,1,info,0
42,42,43,C,5,3.725,user,nets3m3,usuario1_nets3m3,1,info,1
43,43,44,C,10,4.117,user,nets3m3,usuario1_nets3m3,1,info,1
44,44,45,C,5,2.285,user,nets3m3,usuario1_nets3m3,2,info,1
45,45,46,D,9,4.749,user,nets3m3,usuario1_nets3m3,1,info,0
46,46,47,D,4,2.55,user,nets3m3,usuario1_nets3m3,1,info,0
47,47,48,D,9,4.71,user,nets3m3,usuario1_nets3m3,0,info,0
