,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,round,action,payoff,rt,PlayedBy,session,user_id,context,treatment,response,self,other
0,0,0,0,0,0,0,0,0,1,D,24,4.353,user,nets3m3,usuario1_nets3m3,0,info,0,0.0,0.0
1,1,1,1,1,1,1,1,1,2,C,10,4.699,user,nets3m3,usuario1_nets3m3,4,info,1,0.0,0.0
2,2,2,2,2,2,2,2,2,3,C,15,3.292,user,nets3m3,usuario1_nets3m3,2,info,1,0.0,0.0
3,3,3,3,3,3,3,3,3,4,C,5,2.489,user,nets3m3,usuario1_nets3m3,3,info,1,0.0,0.0
4,4,4,4,4,4,4,4,4,5,D,14,2.7710000000000004,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
5,5,5,5,5,5,5,5,5,6,C,5,10.646,user,nets3m3,usuario1_nets3m3,2,info,1,0.0,0.0
6,6,6,6,6,6,6,6,6,7,D,14,5.153,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
7,7,7,7,7,7,7,7,7,8,C,0,6.308,user,nets3m3,usuario1_nets3m3,2,info,1,0.0,0.0
8,8,8,8,8,8,8,8,8,9,C,5,4.399,user,nets3m3,usuario1_nets3m3,0,info,1,0.0,0.0
9,9,9,9,9,9,9,9,9,10,C,5,2.533,user,nets3m3,usuario1_nets3m3,1,info,1,0.0,0.0
10,10,10,10,10,10,10,10,10,11,D,9,2.27,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
11,11,11,11,11,11,11,11,11,12,D,14,3.1710000000000003,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
12,12,12,12,12,12,12,12,12,13,C,10,2.679,user,nets3m3,usuario1_nets3m3,2,info,1,0.0,0.0
13,13,13,13,13,13,13,13,13,14,C,5,2.487,user,nets3m3,usuario1_nets3m3,2,info,1,0.0,0.0
14,14,14,14,14,14,14,14,14,15,C,10,8.261000000000001,user,nets3m3,usuario1_nets3m3,1,info,1,0.0,0.0
15,15,15,15,15,15,15,15,15,16,C,10,4.444,user,nets3m3,usuario1_nets3m3,2,info,1,0.0,0.0
16,16,16,16,16,16,16,16,16,17,C,5,4.583,user,nets3m3,usuario1_nets3m3,2,info,1,0.0,0.0
17,17,17,17,17,17,17,17,17,18,D,9,3.4560000000000004,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
18,18,18,18,18,18,18,18,18,19,D,14,2.141,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
19,19,19,19,19,19,19,19,19,20,C,5,2.637,user,nets3m3,usuario1_nets3m3,2,info,1,0.0,0.0
20,20,20,20,20,20,20,20,20,21,C,5,2.645,user,nets3m3,usuario1_nets3m3,1,info,1,0.0,0.0
21,21,21,21,21,21,21,21,21,22,C,15,4.675,user,nets3m3,usuario1_nets3m3,1,info,1,0.0,0.0
22,22,22,22,22,22,22,22,22,23,D,14,3.09,user,nets3m3,usuario1_nets3m3,3,info,0,0.0,0.0
23,23,23,23,23,23,23,23,23,24,C,10,6.822,user,nets3m3,usuario1_nets3m3,2,info,1,0.0,0.0
24,24,24,24,24,24,24,24,24,25,C,10,2.894,user,nets3m3,usuario1_nets3m3,2,info,1,0.0,0.0
25,25,25,25,25,25,25,25,25,26,C,5,1.994,user,nets3m3,usuario1_nets3m3,2,info,1,0.0,0.0
26,26,26,26,26,26,26,26,26,27,D,4,2.2230000000000003,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
27,27,27,27,27,27,27,27,27,28,D,9,2.97,user,nets3m3,usuario1_nets3m3,0,info,0,0.0,0.0
28,28,28,28,28,28,28,28,28,29,D,9,2.584,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
29,29,29,29,29,29,29,29,29,30,D,14,3.418,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
30,30,30,30,30,30,30,30,30,31,C,5,4.064,user,nets3m3,usuario1_nets3m3,2,info,1,0.0,0.0
31,31,31,31,31,31,31,31,31,32,D,9,11.61,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
32,32,32,32,32,32,32,32,32,33,D,14,3.46,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
33,33,33,33,33,33,33,33,33,34,D,14,3.664,user,nets3m3,usuario1_nets3m3,2,info,0,0.0,0.0
34,34,34,34,34,34,34,34,34,35,C,0,6.787000000000001,user,nets3m3,usuario1_nets3m3,2,info,1,0.0,0.0
35,35,35,35,35,35,35,35,35,36,C,0,2.376,user,nets3m3,usuario1_nets3m3,0,info,1,0.0,0.0
36,36,36,36,36,36,36,36,36,37,C,5,2.029,user,nets3m3,usuario1_nets3m3,0,info,1,0.0,0.0
37,37,37,37,37,37,37,37,37,38,C,0,3.1060000000000003,user,nets3m3,usuario1_nets3m3,1,info,1,0.0,0.0
38,38,38,38,38,38,38,38,38,39,D,9,1.227,user,nets3m3,usuario1_nets3m3,0,info,0,0.0,0.0
39,39,39,39,39,39,39,39,39,40,D,9,1.096,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
40,40,40,40,40,40,40,40,40,41,D,9,6.704,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
41,41,41,41,41,41,41,41,41,42,D,9,4.787,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
42,42,42,42,42,42,42,42,42,43,C,5,3.725,user,nets3m3,usuario1_nets3m3,1,info,1,0.0,0.0
43,43,43,43,43,43,43,43,43,44,C,10,4.117,user,nets3m3,usuario1_nets3m3,1,info,1,0.0,0.0
44,44,44,44,44,44,44,44,44,45,C,5,2.285,user,nets3m3,usuario1_nets3m3,2,info,1,0.0,0.0
45,45,45,45,45,45,45,45,45,46,D,9,4.749,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
46,46,46,46,46,46,46,46,46,47,D,4,2.55,user,nets3m3,usuario1_nets3m3,1,info,0,0.0,0.0
47,47,47,47,47,47,47,47,47,48,D,9,4.71,user,nets3m3,usuario1_nets3m3,0,info,0,0.0,0.0
48,48,48,48,48,48,48,48,48,49,C,5,4.293,user,nets3m3,usuario1_nets3m3,1,info,1,0.0,0.0
49,49,49,49,49,49,49,49,49,50,C,10,3.853,user,nets3m3,usuario1_nets3m3,1,info,1,0.0,0.0
50,50,50,50,50,50,50,50,0,1,D,14,29.381,user,nets5m10,usuario3_nets5m10,0,no info,0,0.0,0.0
51,51,51,51,51,51,51,51,1,2,D,19,19.846,user,nets5m10,usuario3_nets5m10,2,no info,0,0.0,0.0
52,52,52,52,52,52,52,52,2,3,D,14,9.028,user,nets5m10,usuario3_nets5m10,3,no info,0,0.0,0.0
53,53,53,53,53,53,53,53,3,4,C,10,22.644,user,nets5m10,usuario3_nets5m10,2,no info,1,0.0,0.0
54,54,54,54,54,54,54,54,4,5,D,4,7.952000000000001,user,nets5m10,usuario3_nets5m10,2,no info,0,0.0,0.0
55,55,55,55,55,55,55,55,5,6,D,4,26.531,user,nets5m10,usuario3_nets5m10,0,no info,0,0.0,0.0
56,56,56,56,56,56,56,56,6,7,D,4,13.7,user,nets5m10,usuario3_nets5m10,0,no info,0,0.0,0.0
57,57,57,57,57,57,57,57,7,8,D,9,26.81900000000001,user,nets5m10,usuario3_nets5m10,0,no info,0,0.0,0.0
58,58,58,58,58,58,58,58,8,9,C,0,4.187,user,nets5m10,usuario3_nets5m10,1,no info,1,0.0,0.0
59,59,59,59,59,59,59,59,9,10,D,9,9.54,user,nets5m10,usuario3_nets5m10,0,no info,0,0.0,0.0
60,60,60,60,60,60,60,60,10,11,D,14,9.73,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
61,61,61,61,61,61,61,61,11,12,D,9,17.71,user,nets5m10,usuario3_nets5m10,2,no info,0,0.0,0.0
62,62,62,62,62,62,62,62,12,13,D,4,3.196,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
63,63,63,63,63,63,63,63,13,14,D,9,4.1389999999999985,user,nets5m10,usuario3_nets5m10,0,no info,0,0.0,0.0
64,64,64,64,64,64,64,64,14,15,D,14,1.117,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
65,65,65,65,65,65,65,65,15,16,D,19,11.139,user,nets5m10,usuario3_nets5m10,2,no info,0,0.0,0.0
66,66,66,66,66,66,66,66,16,17,D,4,7.843,user,nets5m10,usuario3_nets5m10,3,no info,0,0.0,0.0
67,67,67,67,67,67,67,67,17,18,D,4,5.43,user,nets5m10,usuario3_nets5m10,0,no info,0,0.0,0.0
68,68,68,68,68,68,68,68,18,19,D,9,6.141,user,nets5m10,usuario3_nets5m10,0,no info,0,0.0,0.0
69,69,69,69,69,69,69,69,19,20,D,9,16.155,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
70,70,70,70,70,70,70,70,20,21,D,9,10.564,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
71,71,71,71,71,71,71,71,21,22,D,9,1.809,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
72,72,72,72,72,72,72,72,22,23,D,14,4.796,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
73,73,73,73,73,73,73,73,23,24,D,9,3.721,user,nets5m10,usuario3_nets5m10,2,no info,0,0.0,0.0
74,74,74,74,74,74,74,74,24,25,D,9,2.084,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
75,75,75,75,75,75,75,75,25,26,D,24,3.634,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
76,76,76,76,76,76,76,76,26,27,D,19,13.544,user,nets5m10,usuario3_nets5m10,4,no info,0,0.0,0.0
77,77,77,77,77,77,77,77,27,28,D,19,9.153,user,nets5m10,usuario3_nets5m10,3,no info,0,0.0,0.0
78,78,78,78,78,78,78,78,28,29,D,14,7.5139999999999985,user,nets5m10,usuario3_nets5m10,3,no info,0,0.0,0.0
79,79,79,79,79,79,79,79,29,30,D,9,8.252,user,nets5m10,usuario3_nets5m10,2,no info,0,0.0,0.0
80,80,80,80,80,80,80,80,30,31,D,14,8.689,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
81,81,81,81,81,81,81,81,31,32,D,14,2.242,user,nets5m10,usuario3_nets5m10,2,no info,0,0.0,0.0
82,82,82,82,82,82,82,82,32,33,D,9,1.499,user,nets5m10,usuario3_nets5m10,2,no info,0,0.0,0.0
83,83,83,83,83,83,83,83,33,34,D,9,1.388,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
84,84,84,84,84,84,84,84,34,35,D,9,2.575,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
85,85,85,85,85,85,85,85,35,36,D,14,1.085,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
86,86,86,86,86,86,86,86,36,37,D,4,1.592,user,nets5m10,usuario3_nets5m10,2,no info,0,0.0,0.0
87,87,87,87,87,87,87,87,37,38,D,4,9.009,user,nets5m10,usuario3_nets5m10,0,no info,0,0.0,0.0
88,88,88,88,88,88,88,88,38,39,D,4,1.815,user,nets5m10,usuario3_nets5m10,0,no info,0,0.0,0.0
89,89,89,89,89,89,89,89,39,40,D,4,2.381,user,nets5m10,usuario3_nets5m10,0,no info,0,0.0,0.0
90,90,90,90,90,90,90,90,40,41,D,9,1.491,user,nets5m10,usuario3_nets5m10,0,no info,0,0.0,0.0
91,91,91,91,91,91,91,91,41,42,D,4,2.189,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
92,92,92,92,92,92,92,92,42,43,D,9,1.4380000000000002,user,nets5m10,usuario3_nets5m10,0,no info,0,0.0,0.0
93,93,93,93,93,93,93,93,43,44,D,9,1.31,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
94,94,94,94,94,94,94,94,44,45,D,9,6.028,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
95,95,95,95,95,95,95,95,45,46,D,4,1.1909999999999998,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
96,96,96,96,96,96,96,96,46,47,D,9,0.927,user,nets5m10,usuario3_nets5m10,0,no info,0,0.0,0.0
97,97,97,97,97,97,97,97,47,48,D,9,1.3430000000000002,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
98,98,98,98,98,98,98,98,48,49,D,14,2.768,user,nets5m10,usuario3_nets5m10,1,no info,0,0.0,0.0
99,99,99,99,99,99,99,99,49,50,D,4,3.069,user,nets5m10,usuario3_nets5m10,2,no info,0,0.0,0.0
100,100,100,100,100,100,100,100,0,1,C,10,4.399,user,nets9m11,usuario1_nets9m11,0,info,1,0.0,0.0
101,101,101,101,101,101,101,101,1,2,C,10,5.259,user,nets9m11,usuario1_nets9m11,2,info,1,0.0,0.0
102,102,102,102,102,102,102,102,2,3,C,15,6.002000000000002,user,nets9m11,usuario1_nets9m11,2,info,1,0.0,0.0
103,103,103,103,103,103,103,103,3,4,C,15,4.463,user,nets9m11,usuario1_nets9m11,3,info,1,0.0,0.0
